,Critical,Dead,Infected,None,Recovered
0,0.0,0.0,2.0,9998.0,0.0
1,0.0,0.0,2.0,9998.0,0.0
2,0.0,0.0,5.0,9995.0,0.0
3,0.0,0.0,5.0,9995.0,0.0
4,0.0,0.0,5.0,9994.0,1.0
5,0.0,0.0,5.0,9994.0,1.0
6,0.0,0.0,4.0,9994.0,2.0
7,1.0,0.0,4.0,9993.0,2.0
8,1.0,0.0,3.0,9993.0,3.0
9,1.0,0.0,4.0,9992.0,3.0
10,1.0,0.0,3.0,9992.0,4.0
11,0.0,1.0,3.0,9992.0,4.0
12,0.0,1.0,3.0,9990.0,6.0
13,0.0,1.0,4.0,9988.0,7.0
14,0.0,1.0,6.0,9986.0,7.0
15,0.0,1.0,16.0,9976.0,7.0
16,0.0,1.0,16.0,9975.0,8.0
17,0.0,1.0,28.0,9962.0,9.0
18,1.0,1.0,42.0,9946.0,10.0
19,2.0,1.0,57.0,9926.0,14.0
20,2.0,1.0,79.0,9899.0,19.0
21,2.0,1.0,122.0,9848.0,27.0
22,2.0,1.0,172.0,9787.0,38.0
23,5.0,1.0,206.0,9738.0,50.0
24,6.0,1.0,243.0,9669.0,81.0
25,6.0,1.0,316.0,9574.0,103.0
26,12.0,1.0,375.0,9467.0,145.0
27,12.0,1.0,458.0,9344.0,185.0
28,14.0,1.0,593.0,9156.0,236.0
29,17.0,1.0,735.0,8947.0,300.0
30,17.0,2.0,867.0,8734.0,380.0
31,17.0,3.0,922.0,8582.0,476.0
32,23.0,3.0,962.0,8436.0,576.0
33,27.0,4.0,970.0,8304.0,695.0
34,33.0,4.0,970.0,8162.0,831.0
35,37.0,4.0,940.0,8040.0,979.0
36,50.0,4.0,932.0,7923.0,1091.0
37,56.0,4.0,902.0,7815.0,1223.0
38,60.0,5.0,854.0,7703.0,1378.0
39,61.0,5.0,813.0,7613.0,1508.0
40,65.0,5.0,785.0,7522.0,1623.0
41,61.0,6.0,761.0,7440.0,1732.0
42,68.0,6.0,716.0,7350.0,1860.0
